1, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
95, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
96, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 10, 1, 3
97, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
98, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
99, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
100, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
101, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 8, 8
102, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 8, 8
103, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 8, 8
104, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 10, 8, 8
105, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 4, 4
106, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
107, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 10, 1, 2
108, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:drygmy, 10, 1, 2
109, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
110, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
111, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
112, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
113, jungle, terralith:amethyst_canyon, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
114, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
115, jungle, terralith:amethyst_canyon, WATER_AMBIENT, minecraft:tropical_fish, 25, 5, 5
116, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 4, 4
117, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 16, 32
118, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 10, 1, 1
119, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 4, 4
120, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:creeper, 80, 4, 4
121, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 4, 4
122, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 5, 1, 4
123, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
124, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 10, 1, 3
125, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
126, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
127, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
128, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
129, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 8, 8
130, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 8, 8
131, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 8, 8
132, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 10, 8, 8
133, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 4, 4
134, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
135, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 10, 1, 2
136, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
137, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
138, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
139, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
140, jungle, terralith:amethyst_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
141, jungle, terralith:amethyst_rainforest, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
142, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
143, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, minecraft:tropical_fish, 25, 5, 5
144, none, terralith:ancient_sands, MONSTER, minecraft:spider, 80, 4, 4
145, none, terralith:ancient_sands, MONSTER, minecraft:zombie, 19, 4, 4
146, none, terralith:ancient_sands, MONSTER, minecraft:zombie_villager, 10, 1, 1
147, none, terralith:ancient_sands, MONSTER, minecraft:skeleton, 80, 4, 4
148, none, terralith:ancient_sands, MONSTER, minecraft:creeper, 80, 4, 4
149, none, terralith:ancient_sands, MONSTER, minecraft:slime, 80, 4, 4
150, none, terralith:ancient_sands, MONSTER, minecraft:enderman, 5, 1, 4
151, none, terralith:ancient_sands, MONSTER, minecraft:witch, 5, 1, 1
152, none, terralith:ancient_sands, MONSTER, minecraft:husk, 80, 4, 4
153, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
154, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
155, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
156, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
157, none, terralith:ancient_sands, CREATURE, minecraft:rabbit, 10, 2, 3
158, none, terralith:ancient_sands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
159, none, terralith:ancient_sands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
160, none, terralith:ancient_sands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
161, none, terralith:ancient_sands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
162, none, terralith:ancient_sands, AMBIENT, minecraft:bat, 10, 8, 8
163, none, terralith:ancient_sands, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
164, none, terralith:ancient_sands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
165, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:spider, 80, 4, 4
166, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:zombie, 80, 16, 32
167, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
168, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:skeleton, 80, 4, 4
169, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:creeper, 80, 4, 4
170, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:slime, 80, 4, 4
171, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:enderman, 5, 1, 4
172, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:witch, 5, 1, 1
173, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
174, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
175, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
176, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
177, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 3, 5
178, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 3
179, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 3
180, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:blazing_weald_walker, 10, 1, 1
181, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:cascading_weald_walker, 10, 1, 1
182, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:flourishing_weald_walker, 10, 1, 1
183, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:vexing_weald_walker, 10, 1, 1
184, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:wolf, 10, 4, 4
185, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:sheep, 12, 4, 4
186, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:pig, 10, 4, 4
187, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:chicken, 10, 4, 4
188, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:cow, 10, 4, 4
189, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
190, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
191, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
192, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
193, forest, ars_nouveau:archwood_forest, AMBIENT, minecraft:bat, 10, 8, 8
194, forest, ars_nouveau:archwood_forest, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
195, forest, ars_nouveau:archwood_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
196, none, terralith:arid_highlands, MONSTER, minecraft:spider, 80, 4, 4
197, none, terralith:arid_highlands, MONSTER, minecraft:zombie, 80, 16, 32
198, none, terralith:arid_highlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
199, none, terralith:arid_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
200, none, terralith:arid_highlands, MONSTER, minecraft:creeper, 80, 4, 4
201, none, terralith:arid_highlands, MONSTER, minecraft:slime, 80, 4, 4
202, none, terralith:arid_highlands, MONSTER, minecraft:enderman, 5, 1, 4
203, none, terralith:arid_highlands, MONSTER, minecraft:witch, 5, 1, 1
204, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
205, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
206, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
207, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
208, none, terralith:arid_highlands, CREATURE, minecraft:sheep, 12, 8, 8
209, none, terralith:arid_highlands, CREATURE, minecraft:pig, 10, 8, 8
210, none, terralith:arid_highlands, CREATURE, minecraft:chicken, 10, 8, 8
211, none, terralith:arid_highlands, CREATURE, minecraft:cow, 10, 8, 8
212, none, terralith:arid_highlands, CREATURE, minecraft:horse, 10, 2, 6
213, none, terralith:arid_highlands, CREATURE, minecraft:donkey, 10, 1, 1
214, none, terralith:arid_highlands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
215, none, terralith:arid_highlands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
216, none, terralith:arid_highlands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
217, none, terralith:arid_highlands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
218, none, terralith:arid_highlands, AMBIENT, minecraft:bat, 10, 8, 8
219, none, terralith:arid_highlands, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
220, none, terralith:arid_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
221, none, terralith:ashen_savanna, MONSTER, minecraft:spider, 80, 4, 4
222, none, terralith:ashen_savanna, MONSTER, minecraft:zombie, 80, 16, 32
223, none, terralith:ashen_savanna, MONSTER, minecraft:zombie_villager, 10, 1, 1
224, none, terralith:ashen_savanna, MONSTER, minecraft:skeleton, 80, 4, 4
225, none, terralith:ashen_savanna, MONSTER, minecraft:creeper, 80, 4, 4
226, none, terralith:ashen_savanna, MONSTER, minecraft:slime, 80, 4, 4
227, none, terralith:ashen_savanna, MONSTER, minecraft:enderman, 5, 1, 4
228, none, terralith:ashen_savanna, MONSTER, minecraft:witch, 5, 1, 1
229, none, terralith:ashen_savanna, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
230, none, terralith:ashen_savanna, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
231, none, terralith:ashen_savanna, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
232, none, terralith:ashen_savanna, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
233, none, terralith:ashen_savanna, CREATURE, minecraft:sheep, 12, 8, 8
234, none, terralith:ashen_savanna, CREATURE, minecraft:pig, 10, 8, 8
235, none, terralith:ashen_savanna, CREATURE, minecraft:chicken, 10, 8, 8
236, none, terralith:ashen_savanna, CREATURE, minecraft:cow, 10, 8, 8
237, none, terralith:ashen_savanna, CREATURE, minecraft:horse, 10, 2, 6
238, none, terralith:ashen_savanna, CREATURE, minecraft:donkey, 10, 1, 1
239, none, terralith:ashen_savanna, CREATURE, minecraft:llama, 10, 4, 4
240, none, terralith:ashen_savanna, CREATURE, ars_nouveau:drygmy, 10, 1, 2
241, none, terralith:ashen_savanna, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
242, none, terralith:ashen_savanna, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
243, none, terralith:ashen_savanna, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
244, none, terralith:ashen_savanna, AMBIENT, minecraft:bat, 10, 8, 8
245, none, terralith:ashen_savanna, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
246, none, terralith:ashen_savanna, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
247, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
248, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 16, 32
249, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
250, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
251, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
252, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
253, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 5, 1, 4
254, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
255, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
256, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
257, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
258, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
259, badlands, minecraft:badlands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
260, badlands, minecraft:badlands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
261, badlands, minecraft:badlands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
262, badlands, minecraft:badlands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
263, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
264, badlands, minecraft:badlands, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
265, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
266, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
267, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 16, 32
268, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
269, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
270, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
271, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
272, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 5, 1, 4
273, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
274, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
275, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
276, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
277, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
278, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
279, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 8, 8
280, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 8, 8
281, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 8, 8
282, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 10, 8, 8
283, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
284, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
285, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
286, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:drygmy, 10, 1, 2
287, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
288, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
289, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
290, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
291, jungle, minecraft:bamboo_jungle, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
292, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
293, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, minecraft:tropical_fish, 25, 5, 5
294, none, terralith:basalt_cliffs, MONSTER, minecraft:spider, 80, 4, 4
295, none, terralith:basalt_cliffs, MONSTER, minecraft:zombie, 80, 16, 32
296, none, terralith:basalt_cliffs, MONSTER, minecraft:zombie_villager, 10, 1, 1
297, none, terralith:basalt_cliffs, MONSTER, minecraft:skeleton, 80, 4, 4
298, none, terralith:basalt_cliffs, MONSTER, minecraft:creeper, 80, 4, 4
299, none, terralith:basalt_cliffs, MONSTER, minecraft:slime, 80, 4, 4
300, none, terralith:basalt_cliffs, MONSTER, minecraft:enderman, 5, 1, 4
301, none, terralith:basalt_cliffs, MONSTER, minecraft:witch, 5, 1, 1
302, none, terralith:basalt_cliffs, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
303, none, terralith:basalt_cliffs, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
304, none, terralith:basalt_cliffs, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
305, none, terralith:basalt_cliffs, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
306, none, terralith:basalt_cliffs, CREATURE, ars_nouveau:drygmy, 10, 1, 2
307, none, terralith:basalt_cliffs, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
308, none, terralith:basalt_cliffs, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
309, none, terralith:basalt_cliffs, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
310, none, terralith:basalt_cliffs, AMBIENT, minecraft:bat, 10, 8, 8
311, none, terralith:basalt_cliffs, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
312, none, terralith:basalt_cliffs, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
313, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
314, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
315, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 10, 1, 4
