1, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
112, philipsruins:sealedruinedghaststatue1, HEADING, header:ignore, 0, 0, 0
113, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
114, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
115, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
116, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
117, dungeons_arise:small_prairie_house, HEADING, header:ignore, 0, 0, 0
118, terralith:spire, HEADING, header:ignore, 0, 0, 0
119, ars_nouveau:stalker_wilden_den, HEADING, header:ignore, 0, 0, 0
120, ars_nouveau:stalker_wilden_den, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
121, philipsruins:start_nether_dungeon, HEADING, header:ignore, 0, 0, 0
122, philipsruins:start_nether_ruin, HEADING, header:ignore, 0, 0, 0
123, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
124, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
125, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
126, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
127, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
128, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
129, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
130, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
131, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
132, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
133, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
134, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
135, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
136, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
137, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
138, philipsruins:underground_structures, HEADING, header:ignore, 0, 0, 0
139, philipsruins:underground_structures, MONSTER, minecraft:wither_skeleton, 10, 1, 5
140, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
141, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
142, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
143, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
144, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
145, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
146, terralith:witch_hut, HEADING, header:ignore, 0, 0, 0
147, terralith:zpointer/minecraft_badlands, HEADING, header:ignore, 0, 0, 0
148, terralith:zpointer/minecraft_bamboo_jungle, HEADING, header:ignore, 0, 0, 0
149, terralith:zpointer/minecraft_beach, HEADING, header:ignore, 0, 0, 0
150, terralith:zpointer/minecraft_birch_forest, HEADING, header:ignore, 0, 0, 0
151, terralith:zpointer/minecraft_cold_ocean, HEADING, header:ignore, 0, 0, 0
152, terralith:zpointer/minecraft_dark_forest, HEADING, header:ignore, 0, 0, 0
153, terralith:zpointer/minecraft_deep_cold_ocean, HEADING, header:ignore, 0, 0, 0
154, terralith:zpointer/minecraft_deep_frozen_ocean, HEADING, header:ignore, 0, 0, 0
155, terralith:zpointer/minecraft_deep_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
156, terralith:zpointer/minecraft_deep_ocean, HEADING, header:ignore, 0, 0, 0
157, terralith:zpointer/minecraft_deep_warm_ocean, HEADING, header:ignore, 0, 0, 0
158, terralith:zpointer/minecraft_desert, HEADING, header:ignore, 0, 0, 0
159, terralith:zpointer/minecraft_dripstone_caves, HEADING, header:ignore, 0, 0, 0
160, terralith:zpointer/minecraft_eroded_badlands, HEADING, header:ignore, 0, 0, 0
161, terralith:zpointer/minecraft_flower_forest, HEADING, header:ignore, 0, 0, 0
162, terralith:zpointer/minecraft_forest, HEADING, header:ignore, 0, 0, 0
163, terralith:zpointer/minecraft_frozen_ocean, HEADING, header:ignore, 0, 0, 0
164, terralith:zpointer/minecraft_frozen_peaks, HEADING, header:ignore, 0, 0, 0
165, terralith:zpointer/minecraft_frozen_river, HEADING, header:ignore, 0, 0, 0
166, terralith:zpointer/minecraft_grove, HEADING, header:ignore, 0, 0, 0
167, terralith:zpointer/minecraft_ice_spikes, HEADING, header:ignore, 0, 0, 0
168, terralith:zpointer/minecraft_jagged_peaks, HEADING, header:ignore, 0, 0, 0
169, terralith:zpointer/minecraft_jungle, HEADING, header:ignore, 0, 0, 0
170, terralith:zpointer/minecraft_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
171, terralith:zpointer/minecraft_lush_caves, HEADING, header:ignore, 0, 0, 0
172, terralith:zpointer/minecraft_meadow, HEADING, header:ignore, 0, 0, 0
173, terralith:zpointer/minecraft_mushroom_fields, HEADING, header:ignore, 0, 0, 0
174, terralith:zpointer/minecraft_ocean, HEADING, header:ignore, 0, 0, 0
175, terralith:zpointer/minecraft_old_growth_birch_forest, HEADING, header:ignore, 0, 0, 0
176, terralith:zpointer/minecraft_old_growth_pine_taiga, HEADING, header:ignore, 0, 0, 0
177, terralith:zpointer/minecraft_old_growth_spruce_taiga, HEADING, header:ignore, 0, 0, 0
178, terralith:zpointer/minecraft_plains, HEADING, header:ignore, 0, 0, 0
179, terralith:zpointer/minecraft_river, HEADING, header:ignore, 0, 0, 0
180, terralith:zpointer/minecraft_savanna, HEADING, header:ignore, 0, 0, 0
181, terralith:zpointer/minecraft_savanna_plateau, HEADING, header:ignore, 0, 0, 0
182, terralith:zpointer/minecraft_snowy_beach, HEADING, header:ignore, 0, 0, 0
183, terralith:zpointer/minecraft_snowy_plains, HEADING, header:ignore, 0, 0, 0
184, terralith:zpointer/minecraft_snowy_slopes, HEADING, header:ignore, 0, 0, 0
185, terralith:zpointer/minecraft_snowy_taiga, HEADING, header:ignore, 0, 0, 0
186, terralith:zpointer/minecraft_sparse_jungle, HEADING, header:ignore, 0, 0, 0
187, terralith:zpointer/minecraft_stony_peaks, HEADING, header:ignore, 0, 0, 0
188, terralith:zpointer/minecraft_stony_shore, HEADING, header:ignore, 0, 0, 0
189, terralith:zpointer/minecraft_sunflower_plains, HEADING, header:ignore, 0, 0, 0
190, terralith:zpointer/minecraft_swamp, HEADING, header:ignore, 0, 0, 0
191, terralith:zpointer/minecraft_taiga, HEADING, header:ignore, 0, 0, 0
192, terralith:zpointer/minecraft_warm_ocean, HEADING, header:ignore, 0, 0, 0
193, terralith:zpointer/minecraft_windswept_forest, HEADING, header:ignore, 0, 0, 0
194, terralith:zpointer/minecraft_windswept_gravelly_hills, HEADING, header:ignore, 0, 0, 0
195, terralith:zpointer/minecraft_windswept_hills, HEADING, header:ignore, 0, 0, 0
196, terralith:zpointer/minecraft_windswept_savanna, HEADING, header:ignore, 0, 0, 0
197, terralith:zpointer/minecraft_wooded_badlands, HEADING, header:ignore, 0, 0, 0
198, terralith:zpointer/terralith_alpha_islands, HEADING, header:ignore, 0, 0, 0
199, terralith:zpointer/terralith_alpha_islands_winter, HEADING, header:ignore, 0, 0, 0
200, terralith:zpointer/terralith_alpine_grove, HEADING, header:ignore, 0, 0, 0
201, terralith:zpointer/terralith_alpine_highlands, HEADING, header:ignore, 0, 0, 0
202, terralith:zpointer/terralith_amethyst_canyon, HEADING, header:ignore, 0, 0, 0
203, terralith:zpointer/terralith_amethyst_rainforest, HEADING, header:ignore, 0, 0, 0
204, terralith:zpointer/terralith_ancient_sands, HEADING, header:ignore, 0, 0, 0
205, terralith:zpointer/terralith_arid_highlands, HEADING, header:ignore, 0, 0, 0
206, terralith:zpointer/terralith_ashen_savanna, HEADING, header:ignore, 0, 0, 0
207, terralith:zpointer/terralith_basalt_cliffs, HEADING, header:ignore, 0, 0, 0
208, terralith:zpointer/terralith_birch_taiga, HEADING, header:ignore, 0, 0, 0
209, terralith:zpointer/terralith_blooming_plateau, HEADING, header:ignore, 0, 0, 0
210, terralith:zpointer/terralith_blooming_valley, HEADING, header:ignore, 0, 0, 0
211, terralith:zpointer/terralith_brushland, HEADING, header:ignore, 0, 0, 0
212, terralith:zpointer/terralith_bryce_canyon, HEADING, header:ignore, 0, 0, 0
213, terralith:zpointer/terralith_caldera, HEADING, header:ignore, 0, 0, 0
214, terralith:zpointer/terralith_cloud_forest, HEADING, header:ignore, 0, 0, 0
215, terralith:zpointer/terralith_cold_shrubland, HEADING, header:ignore, 0, 0, 0
216, terralith:zpointer/terralith_desert_canyon, HEADING, header:ignore, 0, 0, 0
217, terralith:zpointer/terralith_desert_oasis, HEADING, header:ignore, 0, 0, 0
218, terralith:zpointer/terralith_desert_spires, HEADING, header:ignore, 0, 0, 0
219, terralith:zpointer/terralith_emerald_peaks, HEADING, header:ignore, 0, 0, 0
220, terralith:zpointer/terralith_forested_highlands, HEADING, header:ignore, 0, 0, 0
221, terralith:zpointer/terralith_fractured_savanna, HEADING, header:ignore, 0, 0, 0
222, terralith:zpointer/terralith_frozen_cliffs, HEADING, header:ignore, 0, 0, 0
223, terralith:zpointer/terralith_glacial_chasm, HEADING, header:ignore, 0, 0, 0
224, terralith:zpointer/terralith_granite_cliffs, HEADING, header:ignore, 0, 0, 0
225, terralith:zpointer/terralith_gravel_beach, HEADING, header:ignore, 0, 0, 0
226, terralith:zpointer/terralith_gravel_desert, HEADING, header:ignore, 0, 0, 0
227, terralith:zpointer/terralith_haze_mountain, HEADING, header:ignore, 0, 0, 0
228, terralith:zpointer/terralith_highlands, HEADING, header:ignore, 0, 0, 0
229, terralith:zpointer/terralith_hot_shrubland, HEADING, header:ignore, 0, 0, 0
230, terralith:zpointer/terralith_ice_marsh, HEADING, header:ignore, 0, 0, 0
231, terralith:zpointer/terralith_jungle_mountains, HEADING, header:ignore, 0, 0, 0
232, terralith:zpointer/terralith_lavender_forest, HEADING, header:ignore, 0, 0, 0
233, terralith:zpointer/terralith_lavender_valley, HEADING, header:ignore, 0, 0, 0
234, terralith:zpointer/terralith_lush_valley, HEADING, header:ignore, 0, 0, 0
235, terralith:zpointer/terralith_mirage_isles, HEADING, header:ignore, 0, 0, 0
236, terralith:zpointer/terralith_moonlight_grove, HEADING, header:ignore, 0, 0, 0
237, terralith:zpointer/terralith_moonlight_valley, HEADING, header:ignore, 0, 0, 0
238, terralith:zpointer/terralith_mountain_steppe, HEADING, header:ignore, 0, 0, 0
239, terralith:zpointer/terralith_orchid_swamp, HEADING, header:ignore, 0, 0, 0
240, terralith:zpointer/terralith_painted_mountains, HEADING, header:ignore, 0, 0, 0
241, terralith:zpointer/terralith_red_oasis, HEADING, header:ignore, 0, 0, 0
242, terralith:zpointer/terralith_rocky_jungle, HEADING, header:ignore, 0, 0, 0
243, terralith:zpointer/terralith_rocky_mountains, HEADING, header:ignore, 0, 0, 0
244, terralith:zpointer/terralith_rocky_shrubland, HEADING, header:ignore, 0, 0, 0
245, terralith:zpointer/terralith_sakura_grove, HEADING, header:ignore, 0, 0, 0
246, terralith:zpointer/terralith_sakura_valley, HEADING, header:ignore, 0, 0, 0
247, terralith:zpointer/terralith_sandstone_valley, HEADING, header:ignore, 0, 0, 0
248, terralith:zpointer/terralith_savanna_badlands, HEADING, header:ignore, 0, 0, 0
249, terralith:zpointer/terralith_savanna_slopes, HEADING, header:ignore, 0, 0, 0
250, terralith:zpointer/terralith_scarlet_mountains, HEADING, header:ignore, 0, 0, 0
251, terralith:zpointer/terralith_shield, HEADING, header:ignore, 0, 0, 0
252, terralith:zpointer/terralith_shield_clearing, HEADING, header:ignore, 0, 0, 0
253, terralith:zpointer/terralith_shrubland, HEADING, header:ignore, 0, 0, 0
254, terralith:zpointer/terralith_siberian_grove, HEADING, header:ignore, 0, 0, 0
255, terralith:zpointer/terralith_siberian_taiga, HEADING, header:ignore, 0, 0, 0
256, terralith:zpointer/terralith_skylands, HEADING, header:ignore, 0, 0, 0
257, terralith:zpointer/terralith_skylands_autumn, HEADING, header:ignore, 0, 0, 0
258, terralith:zpointer/terralith_skylands_spring, HEADING, header:ignore, 0, 0, 0
259, terralith:zpointer/terralith_skylands_summer, HEADING, header:ignore, 0, 0, 0
260, terralith:zpointer/terralith_skylands_winter, HEADING, header:ignore, 0, 0, 0
261, terralith:zpointer/terralith_snowy_badlands, HEADING, header:ignore, 0, 0, 0
262, terralith:zpointer/terralith_snowy_maple_forest, HEADING, header:ignore, 0, 0, 0
263, terralith:zpointer/terralith_snowy_shield, HEADING, header:ignore, 0, 0, 0
264, terralith:zpointer/terralith_steppe, HEADING, header:ignore, 0, 0, 0
265, terralith:zpointer/terralith_stony_spires, HEADING, header:ignore, 0, 0, 0
266, terralith:zpointer/terralith_temperate_highlands, HEADING, header:ignore, 0, 0, 0
267, terralith:zpointer/terralith_tropical_jungle, HEADING, header:ignore, 0, 0, 0
268, terralith:zpointer/terralith_valley_clearing, HEADING, header:ignore, 0, 0, 0
269, terralith:zpointer/terralith_volcanic_crater, HEADING, header:ignore, 0, 0, 0
270, terralith:zpointer/terralith_volcanic_peaks, HEADING, header:ignore, 0, 0, 0
271, terralith:zpointer/terralith_warm_river, HEADING, header:ignore, 0, 0, 0
272, terralith:zpointer/terralith_warped_mesa, HEADING, header:ignore, 0, 0, 0
273, terralith:zpointer/terralith_white_cliffs, HEADING, header:ignore, 0, 0, 0
274, terralith:zpointer/terralith_white_mesa, HEADING, header:ignore, 0, 0, 0
275, terralith:zpointer/terralith_windswept_spires, HEADING, header:ignore, 0, 0, 0
276, terralith:zpointer/terralith_wintry_forest, HEADING, header:ignore, 0, 0, 0
277, terralith:zpointer/terralith_yellowstone, HEADING, header:ignore, 0, 0, 0
278, terralith:zpointer/terralith_yosemite_cliffs, HEADING, header:ignore, 0, 0, 0
279, terralith:zpointer/terralith_yosemite_lowlands, HEADING, header:ignore, 0, 0, 0
